ranks,titles,index,gross,theaters,per_theater,total_gross
-,I Still Believe,156,"$43,257",109,$397,"$10,239,372"
-,Max Winslow and the House of Secrets,156,"$2,632",8,$329,"$3,761"
-,Sex and the Future,156,"$1,240",2,$620,"$1,240"
-,Strike,156,"$1,239",1,"$1,239","$12,072"
-,The Gentlemen,156,"$1,092",3,$364,"$36,298,217"
-,How to Build a Girl,156,"$1,082",4,$271,"$70,237"
-,The Fox Hunter,156,$780,1,$780,$780
-,The Trip to Greece,156,$548,4,$137,"$2,507"
-,Circles: The Restorative Justice Project,156,$539,1,$539,"$10,260"
-,Becky,163,"$270,848",50,"$5,417","$565,280"
-,The Wretched,163,"$243,432",99,"$2,459","$1,467,112"
-,Infamous,163,"$215,752",58,"$3,720","$215,752"
-,I Still Believe,163,"$34,980",113,$310,"$10,274,352"
-,The Gentlemen,163,"$5,290",7,$756,"$36,303,507"
-,Max Winslow and the House of Secrets,163,"$4,034",10,$403,"$7,795"
-,Strike,163,"$3,151",2,"$1,576","$15,223"
-,The Trip to Greece,163,"$2,855",3,$952,"$5,362"
-,Sex and the Future,163,$565,1,$565,"$1,805"
-,The Fox Hunter,163,$271,1,$271,"$1,051"
-,True History Of The Kelly Gang,163,$232,1,$232,"$33,666"
-,How to Build a Girl,163,$21,2,$11,"$70,258"
-,Followed,170,"$246,704",31,"$7,958","$249,646"
-,Becky,170,"$179,860",22,"$8,175","$745,140"
-,Infamous,170,"$140,388",37,"$3,794","$356,140"
-,The Wretched,170,"$116,570",101,"$1,154","$1,583,682"
-,StarDog and TurboCat,170,"$50,445",6,"$8,408","$50,445"
-,I Still Believe,170,"$27,946",122,$229,"$10,302,298"
-,Max Winslow and the House of Secrets,170,"$4,108",11,$373,"$11,903"
-,Babyteeth,170,"$3,783",12,$315,"$3,783"
-,The Gentlemen,170,"$2,118",5,$424,"$36,305,625"
-,The Trip to Greece,170,"$1,302",3,$434,"$6,664"
-,Strike,170,$535,1,$535,"$15,758"
-,Sex and the Future,170,$391,1,$391,"$2,196"
-,How to Build a Girl,170,$374,4,$94,"$70,632"
-,True History Of The Kelly Gang,170,$150,1,$150,"$33,816"
-,Followed,177,"$149,883",41,"$3,656","$399,529"
-,Becky,177,"$127,349",17,"$7,491","$872,489"
-,The Wretched,177,"$75,957",97,$783,"$1,659,639"
-,Infamous,177,"$68,805",9,"$7,645","$424,945"
-,StarDog and TurboCat,177,"$29,878",4,"$7,470","$80,323"
-,I Still Believe,177,"$16,023",83,$193,"$10,318,321"
