Date,Rank,Movie Title,Weekly Gross,Cumulative Gross,Genre,Original Language,Director,Release Date,Total Gross,Runtime,Distributor,Prod Co.
2020/7/10,-,The Transcendents,$526,"$1,090","Mystery & thriller, Music",English,Derek Ahonen,,$2.0K,1h 36m,,
2020/7/17,-,Relic,"$254,326","$902,394","Horror, Drama",English,Natalie Erika James,"Jul 10, 2020",$1.0M,1h 29m,IFC Midnight,"Nine Stories Productions, AGBO, Film Victoria, Carver Films, Screen Australia"
2020/7/17,-,The Outpost,"$61,698","$138,337",Drama,Romanian,Peter Gothar,,,1h 24m,,
2020/7/17,-,Archive,"$59,724","$139,593",Sci-fi,English (United Kingdom),Gavin Rothery,"Jul 10, 2020",$118.7K,1h 45m,Vertical Entertainment,"Metrol Technology, Independent, Head Gear Films, Hero Squared, Untapped"
2020/7/17,-,Followed,"$41,463","$527,529",Horror,English,Antoine Le,"Jun 19, 2020",$538.1K,1h 37m,Global View Entertainment,"Branded Pictures Entertainment, Viscape Arts"
2020/7/17,-,The Wretched,"$26,535","$1,748,348",Drama,Hindi,Shlok Sharma,,,2h 18m,,
2020/7/17,-,The Gentlemen,"$10,231","$36,332,481","Crime, Drama, Comedy",English,Guy Ritchie,"Jan 24, 2020",$36.5M,1h 53m,STX Films,Toff Guy
2020/7/17,-,Human Capital,"$6,596","$6,596",Drama,Italian,Paolo Virzì,,$157.3K,1h 49m,,"Doco Digital, RAI Cinema, Motorino Amaranto, Indiana Production Company"
2020/7/17,-,I Still Believe,"$6,123","$10,344,192","Biography, Drama, Romance, Music",English,"Jon Erwin, Andrew Erwin","Mar 13, 2020",$9.1M,1h 55m,Lionsgate Films,Kevin Downes
2020/7/17,-,The Truth,"$2,933","$8,206",Mystery & thriller,English,Ryan Barton-Grimley,,,1h 36m,,RBG Films
2020/7/17,-,Guest Artist,"$1,638","$3,424",Drama,English,Timothy Busfield,,$7.0K,1h 14m,,Grand River Productions
2020/7/17,-,The Painted Bird,$754,$754,Drama,Czech,Václav Marhoul,"Jul 17, 2020",$1.3K,2h 49m,IFC Films,"PubRes, Silver Screen Partners II"
2020/7/24,1,The Rental,"$598,510","$598,510","Horror, Comedy",English,"Mike Campbell, Todd Johnson",,,1h 35m,,3 Roses Entertainment
2020/7/24,2,The Big Ugly,"$229,382","$229,382","Crime, Drama",English,Scott Wiper,,$502.4K,1h 46m,,4G Vision
2020/7/24,-,Relic,"$90,683","$993,077","Horror, Drama",English,Natalie Erika James,"Jul 10, 2020",$1.0M,1h 29m,IFC Midnight,"Nine Stories Productions, AGBO, Film Victoria, Carver Films, Screen Australia"
2020/7/24,-,The Wretched,"$29,540","$1,777,888",Drama,Hindi,Shlok Sharma,,,2h 18m,,
2020/7/24,-,The Outpost,"$18,021","$156,358",Drama,Romanian,Peter Gothar,,,1h 24m,,
2020/7/24,-,The Gentlemen,"$10,320","$36,342,801","Crime, Drama, Comedy",English,Guy Ritchie,"Jan 24, 2020",$36.5M,1h 53m,STX Films,Toff Guy
2020/7/24,-,Followed,"$6,773","$534,302",Horror,English,Antoine Le,"Jun 19, 2020",$538.1K,1h 37m,Global View Entertainment,"Branded Pictures Entertainment, Viscape Arts"
2020/7/24,-,I Still Believe,"$3,792","$10,347,984","Biography, Drama, Romance, Music",English,"Jon Erwin, Andrew Erwin","Mar 13, 2020",$9.1M,1h 55m,Lionsgate Films,Kevin Downes
2020/7/24,-,Guest Artist,"$1,293","$4,717",Drama,English,Timothy Busfield,,$7.0K,1h 14m,,Grand River Productions
2020/7/24,-,The Truth,$719,"$8,925",Mystery & thriller,English,Ryan Barton-Grimley,,,1h 36m,,RBG Films
